x,y,part.a,part.b,dist,soil,ffreq
181180.0,333740.0,1.0,0.0,0.0,1,1
181140.0,333700.0,1.0,0.0,0.0,1,1
181180.0,333700.0,1.0,0.0,0.0122243,1,1
181220.0,333700.0,1.0,0.0,0.0434678,1,1
181100.0,333660.0,1.0,0.0,0.0,1,1
181140.0,333660.0,1.0,0.0,0.0122243,1,1
181180.0,333660.0,1.0,0.0,0.0373395,1,1
181220.0,333660.0,1.0,0.0,0.0593662,1,1
181060.0,333620.0,1.0,0.0,0.00135803,1,1
181100.0,333620.0,1.0,0.0,0.0122243,1,1
181140.0,333620.0,1.0,0.0,0.0373395,1,1
181180.0,333620.0,1.0,0.0,0.0593662,1,1
181220.0,333620.0,1.0,0.0,0.0812247,1,1
181260.0,333620.0,1.0,0.0,0.101178,1,1
181020.0,333580.0,1.0,0.0,0.0,1,1
181060.0,333580.0,1.0,0.0,0.0122243,1,1
181100.0,333580.0,1.0,0.0,0.0484855,1,1
181140.0,333580.0,1.0,0.0,0.0593662,1,1
181180.0,333580.0,1.0,0.0,0.0812247,1,1
181220.0,333580.0,1.0,0.0,0.103029,1,1
181260.0,333580.0,1.0,0.0,0.12481,2,1
181300.0,333580.0,1.0,0.0,0.152165,2,1
180980.0,333540.0,1.0,0.0,0.0,1,1
181020.0,333540.0,1.0,0.0,0.0122243,1,1
181060.0,333540.0,1.0,0.0,0.0373395,1,1
181100.0,333540.0,1.0,0.0,0.0593662,1,1
181140.0,333540.0,1.0,0.0,0.0921488,1,1
181180.0,333540.0,1.0,0.0,0.103029,1,1
181220.0,333540.0,1.0,0.0,0.12481,1,1
181260.0,333540.0,1.0,0.0,0.14657800000000001,2,1
181300.0,333540.0,1.0,0.0,0.166504,2,1
180940.0,333500.0,1.0,0.0,0.0,1,1
180980.0,333500.0,1.0,0.0,0.0122243,1,1
181020.0,333500.0,1.0,0.0,0.0373395,1,1
181060.0,333500.0,1.0,0.0,0.0593662,1,1
181100.0,333500.0,1.0,0.0,0.0812247,1,1
181140.0,333500.0,1.0,0.0,0.103029,1,1
181180.0,333500.0,1.0,0.0,0.135698,1,1
181220.0,333500.0,1.0,0.0,0.14657800000000001,1,1
181260.0,333500.0,1.0,0.0,0.168339,2,1
181300.0,333500.0,1.0,0.0,0.190094,2,1
181340.0,333500.0,1.0,0.0,0.206375,2,1
180940.0,333460.0,1.0,0.0,0.00135803,1,1
180980.0,333460.0,1.0,0.0,0.0316663,1,1
181020.0,333460.0,1.0,0.0,0.0593636,1,1
181060.0,333460.0,1.0,0.0,0.0812247,1,1
181100.0,333460.0,1.0,0.0,0.103029,1,1
181140.0,333460.0,1.0,0.0,0.12481,1,1
181180.0,333460.0,1.0,0.0,0.14657800000000001,1,1
181220.0,333460.0,1.0,0.0,0.179213,2,1
181260.0,333460.0,1.0,0.0,0.190094,2,1
181300.0,333460.0,1.0,0.0,0.211846,2,1
181340.0,333460.0,1.0,0.0,0.233596,2,1
180900.0,333420.0,1.0,0.0,0.0,1,1
180940.0,333420.0,1.0,0.0,0.0122243,1,1
180980.0,333420.0,1.0,0.0,0.0484884,1,1
181020.0,333420.0,1.0,0.0,0.0756869,1,1
181060.0,333420.0,1.0,0.0,0.103027,1,1
181100.0,333420.0,1.0,0.0,0.12481,2,1
181140.0,333420.0,1.0,0.0,0.14657800000000001,2,1
181180.0,333420.0,1.0,0.0,0.168339,2,1
181220.0,333420.0,1.0,0.0,0.190094,2,1
181260.0,333420.0,1.0,0.0,0.222715,2,1
181300.0,333420.0,1.0,0.0,0.233596,2,1
181340.0,333420.0,1.0,0.0,0.255343,2,1
181380.0,333420.0,1.0,0.0,0.275265,2,1
180860.0,333380.0,1.0,0.0,0.0,1,1
180900.0,333380.0,1.0,0.0,0.0054321,1,1
180940.0,333380.0,1.0,0.0,0.0373369,1,1
